distance_km,weight_kg,vehicle_type,weather,delay,traffic_volume,delivery_hour,system_load
297.0,46.96,bike,clear,no,5545,9,100 
89.6,47.39,ev van,cold,no,4516,10,500 
273.5,26.89,truck,rainy,no,4767,11,500 
269.7,12.69,ev van,cold,no,5026,12,500 
256.7,37.02,van,foggy,no,4918,13,500 
48.4,33.15,ev bike,rainy,yes,5181,14,500 
198.3,43.79,scooter,clear,no,5584,15,500 
114.6,42.63,van,cold,no,6015,16,500 
142.4,14.06,van,hot,no,5791,17,500 
47.1,29.28,truck,foggy,no,4770,18,500 
293.2,22.05,scooter,cold,no,3539,19,500 
80.4,46.48,truck,cold,no,2784,20,500 
257.7,20.56,ev van,rainy,no,2361,21,500 
19.0,3.36,bike,stormy,yes,1529,22,500 
237.9,24.59,ev bike,stormy,no,963,23,500 
239.3,11.67,ev van,hot,yes,506,0,500 
79.0,0.73,bike,stormy,no,321,1,50000 
170.7,45.62,ev bike,rainy,no,273,2,100000 
90.0,33.7,van,rainy,no,367,3,50000 
64.0,6.03,truck,rainy,yes,814,4,50000 
185.9,19.1,scooter,foggy,no,2718,5,50000 
217.9,14.08,scooter,stormy,no,5673,6,50000 
214.1,40.85,scooter,cold,no,6511,8,50000 
251.7,34.9,bike,clear,no,5471,9,50000 
214.9,5.67,van,foggy,no,5097,12,50000 
115.4,0.67,ev van,stormy,no,4887,13,50000 
293.8,41.03,ev bike,foggy,yes,5337,14,50000 
286.8,46.67,scooter,clear,no,5692,15,50000 
136.1,48.1,truck,hot,no,6137,16,50000 
291.4,6.12,bike,rainy,no,4623,18,50000 
295.0,19.68,bike,hot,no,3591,19,50000 
223.3,6.29,truck,rainy,yes,2898,20,50000 
242.5,46.73,scooter,hot,yes,2637,21,50000 
35.1,22.72,ev bike,rainy,no,1777,22,50000 
81.8,45.51,bike,stormy,yes,1015,23,50000 
37.6,22.81,bike,clear,no,598,0,50000 
46.8,4.72,ev bike,rainy,yes,369,1,50000 
233.4,18.0,scooter,hot,no,312,2,50000 
62.2,48.58,bike,rainy,no,367,3,50000 
114.0,43.85,ev bike,foggy,no,835,4,50000 
131.5,25.79,ev bike,foggy,no,2726,5,50000 
21.4,16.58,ev van,rainy,yes,5689,6,50000 
258.5,8.37,truck,stormy,no,6990,7,100000 
253.9,7.07,van,rainy,no,5985,8,50000 
6.7,7.96,ev bike,stormy,no,5309,9,100000 
178.1,26.7,ev bike,hot,no,4603,10,50000 
180.0,35.04,truck,hot,no,4884,11,50000 
187.9,14.96,scooter,rainy,no,5104,12,4 
78.3,49.22,ev van,hot,yes,5178,13,4 
51.6,23.45,ev bike,hot,no,5501,14,4 
26.9,29.86,ev van,stormy,no,5713,15,150000 
216.7,26.89,truck,hot,yes,6292,16,150000 
148.2,38.6,van,foggy,no,6057,17,150000 
184.2,46.79,ev van,clear,no,4907,18,150000 
167.7,42.4,truck,stormy,no,3503,19,160000 
197.7,25.84,ev bike,cold,no,3037,20,160000 
211.9,46.94,ev van,foggy,no,2822,21,160000 
64.3,21.05,scooter,stormy,no,1992,22,160000 
206.7,3.87,scooter,hot,no,1166,23,160000 
83.5,6.81,bike,cold,no,627,0,160000 
9.3,47.62,truck,foggy,no,388,1,160000 
245.9,47.01,ev bike,rainy,no,368,3,160000 
225.7,45.7,ev van,stormy,yes,2489,5,160000 
226.0,37.62,bike,hot,yes,5537,6,1000 
113.3,34.03,bike,hot,no,6628,7,1000 
232.3,41.91,ev bike,stormy,no,5534,8,1000 
87.7,22.38,scooter,cold,yes,5403,9,1000 
90.1,27.46,van,rainy,no,4770,10,1000 
110.4,44.94,bike,rainy,yes,5217,11,20000 
217.3,3.03,bike,cold,no,5870,12,20000 
75.2,28.25,truck,rainy,no,5967,13,20000 
23.2,19.18,ev bike,hot,no,6108,14,1000 
78.5,27.87,ev van,rainy,yes,6128,15,1000 
138.3,47.87,van,hot,yes,6069,16,1000 
96.4,39.33,truck,cold,no,6169,17,1000 
216.2,23.93,ev van,cold,no,5384,18,2000 
24.1,34.1,van,stormy,yes,4063,19,1000 
197.1,28.23,scooter,rainy,no,3364,20,1000 
94.8,10.02,ev bike,foggy,no,2971,21,1000 
56.0,22.91,bike,hot,yes,2450,22,20000 
70.7,5.72,scooter,stormy,yes,1832,23,1000 
60.4,22.93,bike,rainy,no,1231,0,20000 
258.4,22.08,truck,stormy,yes,718,1,10000 
89.3,34.98,scooter,cold,no,545,2,10000 
244.0,13.62,van,clear,no,411,4,30000 
87.8,19.77,truck,stormy,no,688,5,20000 
3.6,20.7,scooter,stormy,no,1352,6,1000 
3.6,8.75,van,cold,no,2072,7,1000 
111.0,36.68,van,rainy,no,3342,8,1000 
256.4,33.53,bike,rainy,yes,4258,9,20000 
177.9,20.16,ev van,foggy,no,4861,10,40000 
204.2,8.09,ev van,rainy,no,5191,11,1000 
125.0,39.41,ev bike,cold,no,5669,12,1000 
83.3,34.71,bike,hot,no,5074,13,1000 
193.2,33.28,van,foggy,no,5025,14,1000 
174.3,47.29,van,foggy,no,5153,15,30000 
11.4,40.22,bike,clear,no,5024,16,30000 
166.4,44.96,ev van,clear,yes,4779,17,30000 
189.6,38.07,van,stormy,no,4362,18,1000 
111.2,37.33,truck,stormy,yes,3860,19,1000 
103.2,37.97,ev bike,hot,no,3160,20,1000 
236.4,47.28,scooter,clear,no,2992,21,1000 
111.9,26.34,van,clear,no,3202,22,30000 
86.6,20.64,ev van,stormy,no,1941,23,30000 
235.6,48.07,ev bike,clear,no,1233,0,30000 
295.5,48.45,truck,cold,no,323,3,1000 
56.3,43.65,truck,foggy,no,312,4,1000 
114.2,28.82,bike,stormy,no,627,5,1000 
3.6,31.41,scooter,hot,no,1508,6,1000 
146.2,22.55,bike,stormy,yes,1539,7,1000 
85.6,10.69,ev bike,clear,no,2232,8,1000 
247.9,5.23,ev van,rainy,yes,4568,9,1000 
274.8,0.82,bike,foggy,no,4624,10,60000 
35.7,10.8,scooter,clear,no,4529,11,30000 
259.3,27.01,van,stormy,yes,5139,12,30000 
65.3,45.09,ev bike,clear,no,6640,13,1000 
93.1,20.89,van,clear,no,6589,14,1000 
265.8,32.11,bike,hot,no,4429,15,1000 
110.2,23.24,truck,clear,no,4329,16,1000 
6.0,0.88,bike,clear,no,3833,17,1000 
16.5,21.49,truck,foggy,no,4015,18,30000 
102.0,18.67,ev van,cold,no,3382,19,30000 
265.4,15.96,bike,rainy,yes,2815,20,30000 
27.5,15.43,ev van,foggy,no,2110,21,30000 
59.5,7.79,truck,hot,no,1555,22,1000 
290.2,29.26,bike,cold,no,959,23,1000 
124.0,40.2,scooter,rainy,no,455,0,28000 
261.9,41.68,scooter,clear,no,336,1,4000 
